char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
د ن ى,V N D,د,ن,ى,D,N,V,4040,5000
ب ع ص,X E B,ب,ع,ص,B,E,X,5000,20000
ك و ل,L U K,ك,و,ل,K,U,L,740,50000
ى ب ب,B B V,ى,ب,ب,V,B,B,8,120000
ب د ل,L D B,ب,د,ل,B,D,L,89,31000
ب س م,Z S B,ب,س,م,B,S,Z,2644,3000
ا و ل,L U A,ا,و,ل,A,U,L,103,6000
ط د ط,T D T,ط,د,ط,T,D,T,444,29000
ه ن م,Z N H,ه,ن,م,H,N,Z,9,155000
ن م ه,H Z N,ن,م,ه,N,Z,H,503,50000
ح ا ر,R A J,ح,ا,ر,J,A,R,29,45000
ل م ص,X Z L,ل,م,ص,L,Z,X,11,70000
د م م,Z Z D,د,م,م,D,Z,Z,19,20000
ا ص م,Z X A,ا,ص,م,A,X,Z,5115,33000
ع ط س,S T E,ع,ط,س,E,T,S,85,12500
س و ط,T U S,س,و,ط,S,U,T,6,150000
م ر ق,G R Z,م,ر,ق,Z,R,G,11,80000
س ص ل,L X S,س,ص,ل,S,X,L,8,80000
ه ه ه,H H H,ه,ه,ه,H,H,H,151,110000
و ن ا,A N U,و,ن,ا,U,N,A,50,90000
ق ا ا,A A G,ق,ا,ا,G,A,A,444,40000
ح ك ب,B K J,ح,ك,ب,J,K,B,444,13000
س ك ق,G K S,س,ك,ق,S,K,G,6,85000
ح و ط,T U J,ح,و,ط,J,U,T,6046,30000
ر ر ه,H R R,ر,ر,ه,R,R,H,5000,100000
ب د ر,R D B,ب,د,ر,B,D,R,1421,25000
ص ل ك,K L X,ص,ل,ك,X,L,K,9,25000
ه ل ق,G L H,ه,ل,ق,H,L,G,505,30000
م ى س,S V Z,م,ى,س,Z,V,S,505,25000
ح و ع,E U J,ح,و,ع,J,U,E,4,79000
ل م و,U Z L,ل,م,و,L,Z,U,59,33000
