"chakra-text 4","chakra-text 5","chakra-text 6","chakra-text 7","chakra-text 8","chakra-text 9","chakra-text 10","chakra-text 14","chakra-text 16"
"ب","س","و","B","S","U","9996","2025-03-15","على السوم"
"أ","ك","هـ","A","K","H","1234","2025-03-15","على السوم"
"ن","هـ","ى","N","H","V","58","2025-03-15","على السوم"
"ب","ر","ق","B","R","G","3428","2025-03-15","على السوم"
"أ","م","ل","A","Z","L","2898","2025-03-15","على السوم"
"د","ح","م","D","J","Z","8857","2025-03-15","على السوم"
"ع","ط","ر","E","T","R","86","2025-03-15","65000"
"ر","ب","م","R","B","Z","4444","2025-03-15","23000"
"ص","ص","ق","X","X","G","395","2025-03-15","على السوم"
"ر","هـ","ط","R","H","T","1407","2025-03-15","على السوم"
"س","ق","ق","S","G","G","77","2025-03-15","على السوم"
"ب","د","ر","B","D","R","305","2025-03-15","على السوم"
"ب","ب","ى","B","B","V","5500","2025-03-15","على السوم"
"ى","ح","ط","V","J","T","707","2025-03-15","15000"
"ح","ح","ح","J","J","J","410","2025-03-15","على السوم"
"م","ع","ط","Z","E","T","534","2025-03-15","4000"
"و","أ","هـ","U","A","H","46","2025-03-15","على السوم"
"ى","ك","ص","V","K","X","44","2025-03-15","على السوم"
"ر","و","س","R","U","S","5","2025-03-15","على السوم"
"ع","ق","أ","E","G","A","117","2025-03-15","18000"
"و","ق","س","U","G","S","881","2025-03-15","على السوم"
"ر","و","ق","R","U","G","600","2025-03-15","على السوم"
"ى","ط","ى","V","T","V","70","2025-03-15","23500"
"ن","هـ","ر","N","H","R","727","2025-03-15","15000"
"ص","ق","ن","X","G","N","9","2025-03-15","64000"
"ر","ك","هـ","R","K","H","4144","2025-03-15","على السوم"
"ر","م","م","R","Z","Z","7788","2025-03-15","على السوم"
"و","ص","ص","U","X","X","166","2025-03-15","على السوم"
"ر","ن","و","R","N","U","4200","2025-03-15","على السوم"
"ح","ن","و","J","N","U","8221","2025-03-15","على السوم"
"و","س","ط","U","S","T","50","2025-03-15","على السوم"
"ح","ع","د","J","E","D","344","2025-03-15","على السوم"
"ص","ع","د","X","E","D","9","2025-03-14","115000"
"هـ","هـ","هـ","H","H","H","110","2025-03-14","على السوم"
"د","ع","س","D","E","S","1178","2025-03-14","1500"
"د","ط","ب","D","T","B","3","2025-03-14","على السوم"
"ر","ص","ل","R","X","L","2","2025-03-14","120000"
"ر","ص","س","R","X","S","1155","2025-03-14","3500"
"ب","ر","و","B","R","U","29","2025-03-14","35000"
"د","ع","س","D","E","S","7676","2025-03-14","على السوم"
"ر","ن","و","R","N","U","9929","2025-03-14","12000"
"أ","س","س","A","S","S","9992","2025-03-14","15000"
"ن","ح","ب","N","J","B","320","2025-03-14","على السوم"
"ن","ح","ق","N","J","G","41","2025-03-14","10000"
"أ","ص","س","A","X","S","6666","2025-03-14","على السوم"
"أ","أ","ح","A","A","J","5555","2025-03-14","45000"
"ع","م","م","E","Z","Z","505","2025-03-14","على السوم"
