char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
م و ن,N U Z,م,و,ن,Z,U,N,100,55000
ل ق د,D G L,ل,ق,د,L,G,D,6,65000
ن س ر,R S N,ن,س,ر,N,S,R,966,40000
ق ر م,Z R G,ق,ر,م,G,R,Z,134,20000
د ع ح,J E D,د,ع,ح,D,E,J,7222,4500
ح ص ل,L X J,ح,ص,ل,J,X,L,303,15000
ب أ ط,T A B,ب,أ,ط,B,A,T,6655,15000
ح ط ب,B T J,ح,ط,ب,J,T,B,8533,7000
أ و س,S U A,أ,و,س,A,U,S,481,20000
ق أ أ,A A G,ق,أ,أ,G,A,A,444,35000
و ح ن,N J U,و,ح,ن,U,J,N,44,20000
س ع د,D E S,س,ع,د,S,E,D,2045,6000
و ن م,Z N U,و,ن,م,U,N,Z,41,70000
ب هـ هـ,H H B,ب,هـ,هـ,B,H,H,7777,80000
س ب أ,A B S,س,ب,أ,S,B,A,46,23000
ر ن أ,A N R,ر,ن,أ,R,N,A,121,75000
ع ط ك,K T E,ع,ط,ك,E,T,K,511,50000
د ل م,Z L D,د,ل,م,D,L,Z,767,35000
م ل ك,K L Z,م,ل,ك,Z,L,K,190,28000
ص ق ر,R G X,ص,ق,ر,X,G,R,565,30000
ر ك و,U K R,ر,ك,و,R,K,U,9889,15000
و ح ق,G J U,و,ح,ق,U,J,G,2,85000
ب ك ر,R K B,ب,ك,ر,B,K,R,1008,12000
أ أ ك,K A A,أ,أ,ك,A,A,K,1009,9000
ح ل و,U L J,ح,ل,و,J,L,U,7005,8000
ر ع ط,T E R,ر,ع,ط,R,E,T,2444,6500
س هـ م,Z H S,س,هـ,م,S,H,Z,707,60000
ب د ر,R D B,ب,د,ر,B,D,R,5550,13000
ر ن أ,A N R,ر,ن,أ,R,N,A,5969,4000
د و ن,N U D,د,و,ن,D,U,N,5769,4000
أ و ك,K U A,أ,و,ك,A,U,K,9711,6000
ر ع ر,R E R,ر,ع,ر,R,E,R,2423,3000
ى ك ح,J K V,ى,ك,ح,V,K,J,96,14000
س س س,S S S,س,س,س,S,S,S,972,50000
ب ط ى,V T B,ب,ط,ى,B,T,V,990,15000
ق ب ب,B B G,ق,ب,ب,G,B,B,51,14000
ح و ر,R U J,ح,و,ر,J,U,R,4544,10000
ع م ى,V Z E,ع,م,ى,E,Z,V,992,12000
د ع س,S E D,د,ع,س,D,E,S,1178,2000
د د د,D D D,د,د,د,D,D,D,6205,6000
ر ق ع,E G R,ر,ق,ع,R,G,E,666,120000
أ أ أ,A A A,أ,أ,أ,A,A,A,3309,13000
ن س ك,K S N,ن,س,ك,N,S,K,15,25000
أ ك ع,E K A,أ,ك,ع,A,K,E,5511,4000
ر ن أ,A N R,ر,ن,أ,R,N,A,4316,4000
