,Arabic Letters,English Numbers,Price
918,ﺍﻡﻝ,5111,15000
919,ﺏﺏﺭ,33,50000
922,ﻭﺍﻫ,9,120000
929,ﺩﺩﺩ,2445,4500
932,ﻡﻝﻉ,111,40000
934,ﻕﻕﺡ,600,15000
937,ﻕﻡﻫ,477,14500
943,ﻁﻝﺱ,6,250000
944,ﻫﺭﻫ,77,45000
947,ﻁﻯﻯ,1,1000000
951,ﻭﻭﻉ,505,18000
955,ﻯﻫﻕ,90,10000
960,ﻭﻭﺱ,62,16000
961,ﻯﻙﺍ,44,27000
964,ﺏﻁﻝ,554,20000
965,ﻉﺭﻥ,20,150000
972,ﺭﺡﻝ,2030,350000
975,ﺹﺱﻙ,7,80000
977,ﻝﻕﻝ,82,12000
981,ﻯﻥﺡ,40,140000
993,ﺩﻡﻡ,3,180000
994,ﻡﺡﻡ,42,25000
998,ﺱﻡﺭ,44,65000
999,ﺍﺏﺍ,707,15500
1000,ﺭﺱﺭ,575,7500
1004,ﺏﺩﺍ,9003,30000
1009,ﺍﺍﺍ,48,300000
1010,ﻕﻥﻝ,33,37000
1012,ﺹﺭﻝ,3,110000
1024,ﺏﻭﻁ,3305,7000
1039,ﺩﻭﺍ,5000,18000
1044,ﻝﻁﻙ,20,25000
1050,ﻙﻯﻯ,8,360000
1051,ﻯﺡﺍ,11,50000
1068,ﻥﺭﺩ,636,5000
1069,ﻯﻕﻕ,93,30000
1070,ﻝﻕﻯ,25,13000
1072,ﻭﻝﺱ,255,9000
1073,ﻝﻡﻯ,0676,15000
1088,ﻫﻡﺹ,7,77
1089,ﺡﻝﻭ,46,39000
1093,ﺩﻝﻯ,9919,20000
1095,ﺏﺡﺭ,616,30000
1096,ﻥﻉﺱ,13,30000
1097,ﻁﻝﻫ,54,30000
1098,ﻝﻡﻕ,2,125
1111,ﺡﺍﺍ,42,14000
1112,ﻯﺹﻝ,200,7000
1113,ﻯﻫﺍ,23,25000
1115,ﺭﻉﻙ,7,100000
1116,ﻉﻡﻙ,422,15000
1122,ﻫﻯﻯ,102,4000
1123,ﻭﻫﻭ,383,7000
1128,ﻕﻝﻁ,63,20000
1129,ﻭﺡﺏ,42,20000
1131,ﻡﻕﺏ,2,130000
1132,ﺍﻥﻝ,46,8000
1138,ﻯﺍﺏ,20,15000
1139,ﻁﺹﻙ,454,4500
1140,ﻥﻝﺭ,97,10000
1145,ﻭﻕﻭ,28,11000
1148,ﻫﻯﻫ,747,7000
1156,ﻫﺹﻁ,45,6500
1159,ﺍﺱﺱ,2030,300000
1169,ﻭﻉﺭ,560,29500
1170,ﺩﻭﻥ,111,100
1173,ﻕﻝﺏ,623,15000
1174,ﺭﻥﻙ,222,16000
1176,ﻫﺩﺏ,0126,18000
1182,ﺏﺏﺏ,2243,10000
1187,ﺱﺭﺏ,3,27000
1192,ﻡﺡﻙ,79,10000
1195,ﻕﺭﺍ,17,13000
1197,ﻁﻡﺡ,505,20000
1198,ﺭﺹﺡ,1000,20000
1199,ﺭﺱﻉ,8888,30000
1200,ﺭﺡﻥ,5000,15000
1201,ﺭﺏﺹ,4000,15000
1203,ﻫﻝﻯ,87,15000
1206,ﻕﻫﻫ,50,26500
1215,ﻕﻡﺭ,975,20000
1219,ﻙﻡﺍ,30,50000
1221,ﻭﻁﻁ,979,6000
1226,ﺍﻁﻡ,18,25000
1230,ﺏﺏﻯ,1,7000000
1231,ﺩﻡﻁ,507,13000
1233,ﺏﻁﺡ,511,17000
1242,ﻯﺏﻡ,88,17000
1247,ﺡﻭﺏ,1117,12000
1250,ﻥﺍﻥ,343,15000
1260,ﺭﺍﻉ,2222,35000
1264,ﻡﺭﺹ,63,18000
1266,ﺍﺡﺏ,39,50000
1268,ﺏﻭﻯ,8100,4000
1276,ﺭﻥﻭ,1,500000
1279,ﻁﻝﻫ,50,50000
1281,ﺡﻭﺭ,7617,12000
1285,ﺭﻡﺱ,502,10000
1295,ﻝﻝﺭ,999,24000
1299,ﻡﻝﻙ,255,35000
1300,ﺱﻥﺩ,312,35000
1304,ﺱﻝﺩ,5,35000
1305,ﺱﻉﺩ,500,7000
1308,ﻙﻯﻥ,90,28000
1312,ﺩﻝﻉ,320,14500
1313,ﻉﻉﻉ,602,45000
1314,ﺱﺭﺹ,5,55000
1324,ﺡﻝﻭ,4950,19000
1326,ﻭﺩﻫ,510,5000
1331,ﻁﻫﺱ,888,40000
1332,ﺩﺭﻯ,6146,2500
1335,ﻉﻝﻯ,385,16200
1336,ﻡﻡﺩ,555,18000
1341,ﺍﻁﻉ,5022,8000
1342,ﺍﻕﺭ,30,8000
1347,ﺍﻫﻡ,228,8000
1349,ﻁﻙﺭ,200,9000
1350,ﺩﺹﻫ,60,11000
1351,ﻯﺩﻉ,80,11000
1352,ﻕﺩﻁ,900,9000
1362,ﻥﺡﻥ,588,6000
1363,ﺩﺏﺹ,4444,20000
1364,ﻉﺍﺹ,66,20000
1365,ﺡﻙﻭ,800,10000
1366,ﺡﻝﻁ,9999,25000
1371,ﺩﺭﻝ,2003,8000
1372,ﺭﻡﺍ,35,40000
1378,ﻉﺩﻙ,111,28000
1395,ﺩﻝﻉ,666,450000
1404,ﻥﺩﻭ,617,8000
1409,ﻕﻡﺭ,98,70000
1411,ﻡﻕﻥ,88,18500
1412,ﺏﻕﻥ,500,11000
1419,ﺡﻯﻯ,5000,7000
1421,ﻫﻥﺡ,4,40000
1428,ﻯﻁﻉ,7,38000
1436,ﻡﻁﺭ,98,30000
1437,ﺭﺡﻭ,6661,5000
1438,ﺏﺏﻁ,4000,12000
1442,ﻝﻭﻥ,828,12000
1449,ﻫﻥﻙ,14,30000
1462,ﺍﻯﺹ,444,15000
1463,ﺡﻥﻡ,14,14000
1464,ﺱﻙﺱ,507,30000
1470,ﺍﺍﺍ,5023,6000
1471,ﻉﻉﺱ,602,45000
1473,ﺍﻉﺍ,111,500000
1476,ﻫﺹﻫ,515,15000
1479,ﻝﻁﻯ,911,25000
1485,ﺍﻭﻙ,66,30000
1487,ﺍﺩﻫ,800,18000
1488,ﺭﺏﻉ,4867,2699
1492,ﻝﻯﻁ,500,8000
