char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
س   ع   د,D   E   S,س,ع,د,S,E,D,6549,12000
م   ن   م,Z   N   Z,م,ن,م,Z,N,Z,315,1
ا   د   ه,H   D   A,ا,د,ه,A,D,H,666,100
ص   ق   ص,X   G   X,ص,ق,ص,X,G,X,20,25000
ا   ه   ن,N   H   A,ا,ه,ن,A,H,N,518,15000
د   ر   ع,E   R   D,د,ر,ع,D,R,E,8988,4800
ح   و   ك,K   U   J,ح,و,ك,J,U,K,8788,1000
ا   ل   ر,R   L   A,ا,ل,ر,A,L,R,6060,1
ع   ن   ر,R   N   E,ع,ن,ر,E,N,R,708,1
ب   ك   ح,J   K   B,ب,ك,ح,B,K,J,9608,1000
ر   ل   ر,R   L   R,ر,ل,ر,R,L,R,701,9000
ن   ع   م,Z   E   N,ن,ع,م,N,E,Z,760,4000
ى   ح   ط,T   J   V,ى,ح,ط,V,J,T,39,10000
ر   م   ط,T   Z   R,ر,م,ط,R,Z,T,996,20000
ك   ل   ن,N   L   K,ك,ل,ن,K,L,N,666,100000
ه   س   م,Z   S   H,ه,س,م,H,S,Z,959,1
ط   ا   و,U   A   T,ط,ا,و,T,A,U,26,13000
ع   ن   د,D   N   E,ع,ن,د,E,N,D,0,8000
و   د   ر,R   D   U,و,د,ر,U,D,R,896,1
د   ح   ه,H   J   D,د,ح,ه,D,J,H,7090,1000
ن   و   ر,R   U   N,ن,و,ر,N,U,R,24,22000
ص   ح   ا,A   J   X,ص,ح,ا,X,J,A,2,350000
ك   ل   ن,N   L   K,ك,ل,ن,K,L,N,666,100000
م   ب   ص,X   B   Z,م,ب,ص,Z,B,X,13,1
ح   ل   م,Z   L   J,ح,ل,م,J,L,Z,5252,45000
ر   ل   ط,T   L   R,ر,ل,ط,R,L,T,4,60000
ل   ك   ح,J   K   L,ل,ك,ح,L,K,J,443,3700
م   ع   ا,A   E   Z,م,ع,ا,Z,E,A,71,1
ب   ا   ع,E   A   B,ب,ا,ع,B,A,E,9989,300
ه   ص   ك,K   X   H,ه,ص,ك,H,X,K,955,20000
م   ن   ى,V   N   Z,م,ن,ى,Z,N,V,434,20000
د   ن   ا,A   N   D,د,ن,ا,D,N,A,5999,8000
ى   ح   ط,T   J   V,ى,ح,ط,V,J,T,39,13000
ا   ك   ك,K   K   A,ا,ك,ك,A,K,K,404,6000
ب   ك   س,S   K   B,ب,ك,س,B,K,S,2,30
ب   س   ط,T   S   B,ب,س,ط,B,S,T,5111,1
ه   ب   ب,B   B   H,ه,ب,ب,H,B,B,206,10000
ح   ا   ل,L   A   J,ح,ا,ل,J,A,L,6660,14000
د   ا   د,D   A   D,د,ا,د,D,A,D,1999,7000
